"","Address","CaseNumber","CrimeAgainst","Neighborhood","OccurDate","OccurTime","OffenseCategory","OffenseType","OpenDataLat","OpenDataLon","OpenDataX","OpenDataY","ReportDate","OffenseCount"
"121","1200 BLOCK OF SW ALDER ST","22-803833","Society","Downtown","12/6/2022",715,"Weapon Law Violations","Weapons Law Violations",45.521402786,-122.684278418,7642327,683758,"12/6/2022",1
"122","1200 BLOCK OF SW COLUMBIA ST","22-86373","Society","Downtown","3/31/2022",2227,"Weapon Law Violations","Weapons Law Violations",45.51598872,-122.687203997,7641524,681805,"3/31/2022",1
"123","1200 BLOCK OF SW COLUMBIA ST","22-147673","Society","Downtown","6/2/2022",2315,"Weapon Law Violations","Weapons Law Violations",45.51598872,-122.687203997,7641524,681805,"6/2/2022",1
"124","1200 BLOCK OF SW MAIN ST","22-28866","Society","Downtown","1/31/2022",1115,"Weapon Law Violations","Weapons Law Violations",45.517982474,-122.686098246,7641827,682524,"1/31/2022",1
"125","1300 BLOCK OF NW LOVEJOY ST","22-281821","Society","Pearl","10/20/2022",1350,"Weapon Law Violations","Weapons Law Violations",45.530090985,-122.684909379,7642251,686929,"10/20/2022",1
"126","1300 BLOCK OF SW 11TH AVE","22-85184","Society","Downtown","3/30/2022",1631,"Weapon Law Violations","Weapons Law Violations",45.515968466,-122.685528976,7641953,681786,"3/30/2022",1
"127","1300 BLOCK OF SW PARK AVE","22-183153","Society","Downtown","7/9/2022",431,"Weapon Law Violations","Weapons Law Violations",45.515258695,-122.68288691,7642623,681509,"7/9/2022",1
"128","1400 BLOCK OF N HAYDEN ISLAND DR","22-224044","Society","Hayden Island","8/20/2022",330,"Weapon Law Violations","Weapons Law Violations",45.613772773,-122.681539687,7643938,717406,"8/20/2022",1
"129","1400 BLOCK OF N LOMBARD ST","22-284504","Society","Arbor Lodge","10/23/2022",1653,"Weapon Law Violations","Weapons Law Violations",45.577103011,-122.681610063,7643559,704041,"10/23/2022",1
"130","1400 BLOCK OF SE 122ND AVE","22-145187","Society","Mill Park","5/31/2022",1732,"Weapon Law Violations","Weapons Law Violations",45.512977707,-122.537760277,7679790,679706,"5/31/2022",1
"131","1400 BLOCK OF SW JEFFERSON ST","22-78844","Society","Goose Hollow","3/24/2022",1102,"Weapon Law Violations","Weapons Law Violations",45.517177646,-122.688885044,7641105,682250,"3/24/2022",1
"132","1500 BLOCK OF NE 6TH AVE","22-197233","Society","Lloyd","7/22/2022",1845,"Weapon Law Violations","Weapons Law Violations",45.534000103,-122.659684605,7648751,688180,"7/23/2022",1
"133","1500 BLOCK OF NE 66TH AVE","22-333836","Society","Madison South","12/17/2022",1656,"Weapon Law Violations","Weapons Law Violations",45.53396853,-122.595738789,7665131,687737,"12/17/2022",1
"134","1500 BLOCK OF NE 102ND AVE","22-250029","Society","Woodland Park","9/16/2022",1643,"Weapon Law Violations","Weapons Law Violations",45.533833697,-122.558109474,7674769,687440,"9/16/2022",1
"135","1500 BLOCK OF NW 19TH AVE","22-170551","Society","Northwest","6/26/2022",1409,"Weapon Law Violations","Weapons Law Violations",45.533857496,-122.690703283,7640804,688342,"6/26/2022",1
"136","1500 BLOCK OF NW THURMAN ST","22-2062","Society","Northwest","1/3/2022",1417,"Weapon Law Violations","Weapons Law Violations",45.535664509,-122.6871579,7641730,688976,"1/3/2022",1
"137","1500 BLOCK OF S HARBOR WAY","22-46984","Society","Downtown","2/19/2022",734,"Weapon Law Violations","Weapons Law Violations",45.511666791,-122.674663161,7644695,680143,"2/19/2022",1
"138","1500 BLOCK OF SE 96TH AVE","22-78938","Society","Hazelwood","3/24/2022",1307,"Weapon Law Violations","Weapons Law Violations",45.512140962,-122.564191251,7673009,679573,"3/24/2022",1
